Block	Column	Row	Name
3	9	5	carbSynthe_1419
3	10	5	carbsynthe_1380
3	11	5	carbSynthe_1419
3	12	5	carbsynthe_1380
3	1	6	carbsynthe_1385
3	2	6	0
3	3	6	carbsynthe_1385
3	4	6	0
3	5	6	0
3	6	6	0
3	7	6	0
3	8	6	0
3	9	6	0
3	10	6	0
3	11	6	0
3	12	6	0
3	1	7	carbSynthe_1260
3	2	7	carbsynthe_1307
3	3	7	carbSynthe_1260
3	4	7	carbsynthe_1307
3	5	7	carbsynthe_1332
3	6	7	carbsynthe_1344
3	7	7	carbsynthe_1332
3	8	7	carbsynthe_1344
3	9	7	carbSynthe_1419
3	10	7	carbsynthe_1380
3	11	7	carbSynthe_1419
3	12	7	carbsynthe_1380
3	1	8	carbSynthe_0732
3	2	8	carbSynthe_0708
3	3	8	carbSynthe_0732
3	4	8	carbSynthe_0708
3	5	8	carbSynthe_1000
3	6	8	carbSynthe_967
3	7	8	carbSynthe_1000
3	8	8	carbSynthe_967
3	9	8	carbSynthe_1088
3	10	8	carbSynthe_1114
3	11	8	carbSynthe_1088
3	12	8	carbSynthe_1114
3	1	9	carbSynthe_0610
3	2	9	carbSynthe_0624
3	3	9	carbSynthe_0610
3	4	9	carbSynthe_0624
3	5	9	carbSynthe_0635
3	6	9	carbSynthe_0851
3	7	9	carbSynthe_0635
3	8	9	carbSynthe_0851
3	9	9	carbSynthe_0701
3	10	9	carbSynthe_0709
3	11	9	carbSynthe_0701
3	12	9	carbSynthe_0709
3	1	10	carbSynthe_0732
3	2	10	carbSynthe_0708
3	3	10	carbSynthe_0732
3	4	10	carbSynthe_0708
3	5	10	carbSynthe_1000
3	6	10	carbSynthe_967
3	7	10	carbSynthe_1000
3	8	10	carbSynthe_967
3	9	10	carbSynthe_1088
3	10	10	carbSynthe_1114
3	11	10	carbSynthe_1088
3	12	10	carbSynthe_1114
3	1	11	carbSynthe_0610
3	2	11	carbSynthe_0624
3	3	11	carbSynthe_0610
3	4	11	carbSynthe_0624
3	5	11	carbSynthe_0635
3	6	11	carbSynthe_0851
3	7	11	carbSynthe_0635
3	8	11	carbSynthe_0851
3	9	11	carbSynthe_0701
3	10	11	carbSynthe_0709
3	11	11	carbSynthe_0701
3	12	11	carbSynthe_0709
